playlist_id,track_id,track_name,artist_name,release_date,popularity,explicit,external_url,artist_genres
6XFOsAdp88ptBCdqUMAfmP,17iGUekw5nFt5mIRJcUm3R,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,2020-12-20,0,False,https://open.spotify.com/track/17iGUekw5nFt5mIRJcUm3R,
6XFOsAdp88ptBCdqUMAfmP,7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,Đen,2020-12-20,60,False,https://open.spotify.com/track/7LVrrX8pkzI9fMF88nGabt,
6XFOsAdp88ptBCdqUMAfmP,6IAqflHsPVm4EpYghXauX7,Sinh Ra Đã Là Thứ Đối Lập Nhau,Emcee L (Da LAB),2018-03-01,0,False,https://open.spotify.com/track/6IAqflHsPVm4EpYghXauX7,
6XFOsAdp88ptBCdqUMAfmP,7wkX67ruxr3x2GFz6vyIX9,Bước Qua Mùa Cô Đơn,Vũ.,2020-12-10,48,False,https://open.spotify.com/track/7wkX67ruxr3x2GFz6vyIX9,
6XFOsAdp88ptBCdqUMAfmP,2LykruN1mQlg9nuUaE7dvQ,Nàng Thơ,Hoàng Dũng,2018-03-01,0,False,https://open.spotify.com/track/2LykruN1mQlg9nuUaE7dvQ,
6XFOsAdp88ptBCdqUMAfmP,5Ojsg9xR0wlTpDIW1qLYz2,Đom Đóm,Jack - J97,2020-12-26,0,False,https://open.spotify.com/track/5Ojsg9xR0wlTpDIW1qLYz2,
6XFOsAdp88ptBCdqUMAfmP,5zH2inEP6THOY8tomr3DdZ,Trên Tình Bạn Dưới Tình Yêu,MIN,2020-11-06,0,False,https://open.spotify.com/track/5zH2inEP6THOY8tomr3DdZ,
6XFOsAdp88ptBCdqUMAfmP,3pyHABNUu0QxeyH1x8p7yf,Gặp Nhưng Không Ở Lại,Hiền Hồ,2020-11-26,0,False,https://open.spotify.com/track/3pyHABNUu0QxeyH1x8p7yf,
6XFOsAdp88ptBCdqUMAfmP,05RlEsnD2yUygC5Ukjy7RW,BLACKJACK,SOOBIN,2020-11-30,0,False,https://open.spotify.com/track/05RlEsnD2yUygC5Ukjy7RW,
6XFOsAdp88ptBCdqUMAfmP,56JyO6Cav1GwtayPU7PXEx,từ thích thích thành thương thương,AMEE,2020-12-07,0,False,https://open.spotify.com/track/56JyO6Cav1GwtayPU7PXEx,
6XFOsAdp88ptBCdqUMAfmP,3Mj39aPp9Ts9utchsXZcjZ,Lo Xa,Tiên Tiên,2020-12-18,0,False,https://open.spotify.com/track/3Mj39aPp9Ts9utchsXZcjZ,
6XFOsAdp88ptBCdqUMAfmP,0SmQ0UWeiHKQtxUej4Rem6,Tháng Năm,SOOBIN,2020-12-15,68,False,https://open.spotify.com/track/0SmQ0UWeiHKQtxUej4Rem6,
6XFOsAdp88ptBCdqUMAfmP,6HpDKKSDZ8QpSHfikENIBC,Gác Lại Âu Lo,Da LAB,2018-03-01,0,False,https://open.spotify.com/track/6HpDKKSDZ8QpSHfikENIBC,
6XFOsAdp88ptBCdqUMAfmP,42mIT9wfmgA48DTN8GmCxX,Giá Như,Chillies,2020-12-25,32,False,https://open.spotify.com/track/42mIT9wfmgA48DTN8GmCxX,
6XFOsAdp88ptBCdqUMAfmP,0167mYf0UIa3qBqy4NZgt5,CILU,JGKiD (Da LAB),2018-03-01,0,False,https://open.spotify.com/track/0167mYf0UIa3qBqy4NZgt5,
6XFOsAdp88ptBCdqUMAfmP,2QIRuHGVTmp9HL2u4irHMt,Tình Yêu Xanh Lá (juju),Thịnh Suy,2018-03-01,0,False,https://open.spotify.com/track/2QIRuHGVTmp9HL2u4irHMt,
